datetime,open,high,low,close,volume
2025-07-28 00:00:00,1.17567,1.17702,1.1755,1.17639,0
2025-07-28 01:00:00,1.17639,1.17698,1.17477,1.17525,0
2025-07-28 02:00:00,1.17525,1.17573,1.17466,1.1755,0
2025-07-28 03:00:00,1.1755,1.17572,1.17513,1.17566,0
2025-07-28 04:00:00,1.17566,1.17582,1.17458,1.17475,0
2025-07-28 05:00:00,1.17475,1.17477,1.17402,1.17408,0
2025-07-28 06:00:00,1.17408,1.17445,1.17114,1.17214,0
2025-07-28 07:00:00,1.17213,1.17238,1.16712,1.1675,0
2025-07-28 08:00:00,1.16749,1.16902,1.16711,1.16791,0
2025-07-28 09:00:00,1.16792,1.16846,1.16585,1.16674,0
2025-07-28 10:00:00,1.1667,1.1672,1.16552,1.1658,0
2025-07-28 11:00:00,1.16581,1.16583,1.16439,1.16512,0
2025-07-28 12:00:00,1.16512,1.16652,1.16483,1.16581,0
2025-07-28 13:00:00,1.16581,1.16622,1.16258,1.16342,0
2025-07-28 14:00:00,1.16341,1.16474,1.16308,1.16373,0
2025-07-28 15:00:00,1.16373,1.16393,1.16082,1.16089,0
2025-07-28 16:00:00,1.16089,1.16108,1.15986,1.15992,0
2025-07-28 17:00:00,1.15992,1.16015,1.15896,1.15922,0
2025-07-28 18:00:00,1.15922,1.15946,1.15854,1.15946,0
2025-07-28 19:00:00,1.15948,1.15961,1.15893,1.15914,0
2025-07-28 20:00:00,1.15912,1.15942,1.15856,1.15887,0
2025-07-28 21:00:00,1.15893,1.15918,1.15886,1.15904,0
2025-07-28 22:00:00,1.15904,1.15944,1.15877,1.15938,0
2025-07-28 23:00:00,1.15938,1.15969,1.15894,1.15966,0
2025-07-29 00:00:00,1.15965,1.15977,1.15846,1.15852,0
2025-07-29 01:00:00,1.15852,1.15984,1.15852,1.1591,0
2025-07-29 02:00:00,1.1591,1.15992,1.1591,1.15971,0
2025-07-29 03:00:00,1.15972,1.15985,1.15815,1.1583,0
2025-07-29 04:00:00,1.1583,1.15888,1.15748,1.15888,0
2025-07-29 05:00:00,1.15888,1.15904,1.15772,1.15787,0
2025-07-29 06:00:00,1.15787,1.15861,1.15325,1.15338,0
2025-07-29 07:00:00,1.15339,1.15549,1.15276,1.15549,0
2025-07-29 08:00:00,1.15549,1.15696,1.15526,1.15692,0
2025-07-29 09:00:00,1.15691,1.15849,1.15631,1.15767,0
2025-07-29 10:00:00,1.15768,1.15883,1.15731,1.15741,0
2025-07-29 11:00:00,1.15741,1.15749,1.15376,1.15393,0
2025-07-29 12:00:00,1.15402,1.15422,1.1527,1.1527,0
2025-07-29 13:00:00,1.15251,1.15471,1.15192,1.1546,0
2025-07-29 14:00:00,1.15461,1.15502,1.15218,1.15234,0
2025-07-29 15:00:00,1.15229,1.1541,1.15221,1.15336,0
2025-07-29 16:00:00,1.15335,1.15495,1.15335,1.15417,0
2025-07-29 17:00:00,1.15415,1.15605,1.15402,1.15415,0
2025-07-29 18:00:00,1.15417,1.15505,1.15376,1.15505,0
2025-07-29 19:00:00,1.15504,1.15575,1.15492,1.15502,0
2025-07-29 20:00:00,1.15507,1.15526,1.15444,1.15465,0
2025-07-29 21:00:00,1.15466,1.15495,1.15464,1.15488,0
2025-07-29 22:00:00,1.15488,1.15509,1.15472,1.15498,0
2025-07-29 23:00:00,1.15498,1.15511,1.15467,1.1551,0
2025-07-30 00:00:00,1.1551,1.15678,1.1551,1.15674,0
2025-07-30 01:00:00,1.15674,1.15724,1.15605,1.15642,0
2025-07-30 02:00:00,1.15643,1.15684,1.15606,1.15638,0
2025-07-30 03:00:00,1.15638,1.15707,1.15582,1.15618,0
2025-07-30 04:00:00,1.15618,1.1562,1.15506,1.15513,0
2025-07-30 05:00:00,1.15513,1.15598,1.15486,1.15502,0
2025-07-30 06:00:00,1.15501,1.15607,1.15403,1.1557,0
2025-07-30 07:00:00,1.15568,1.15686,1.15515,1.15536,0
2025-07-30 08:00:00,1.15536,1.15595,1.15489,1.1557,0
2025-07-30 09:00:00,1.15569,1.15606,1.15451,1.15521,0
2025-07-30 10:00:00,1.15521,1.1555,1.15324,1.15395,0
2025-07-30 11:00:00,1.15395,1.15407,1.1522,1.15313,0
2025-07-30 12:00:00,1.15312,1.15348,1.14692,1.14727,0
2025-07-30 13:00:00,1.1473,1.1481,1.14584,1.14692,0
2025-07-30 14:00:00,1.14694,1.1482,1.14654,1.14807,0
2025-07-30 15:00:00,1.14806,1.14851,1.14638,1.14687,0
2025-07-30 16:00:00,1.14688,1.14742,1.14649,1.14739,0
2025-07-30 17:00:00,1.14739,1.14821,1.14739,1.14816,0
2025-07-30 18:00:00,1.1482,1.1503,1.14249,1.14249,0
2025-07-30 19:00:00,1.14246,1.14361,1.14145,1.1422,0
2025-07-30 20:00:00,1.14244,1.14295,1.14013,1.1405,0
2025-07-30 21:00:00,1.1405,1.14095,1.14039,1.14088,0
2025-07-30 22:00:00,1.14089,1.14243,1.14068,1.1423,0
2025-07-30 23:00:00,1.1423,1.14305,1.14196,1.14282,0
2025-07-31 00:00:00,1.14282,1.14374,1.14281,1.14343,0
2025-07-31 01:00:00,1.14343,1.1438,1.14237,1.14303,0
2025-07-31 02:00:00,1.14308,1.14318,1.14213,1.14293,0
2025-07-31 03:00:00,1.14292,1.14344,1.14078,1.14235,0
2025-07-31 04:00:00,1.14234,1.14363,1.14195,1.14363,0
2025-07-31 05:00:00,1.14359,1.1443,1.1431,1.14365,0
2025-07-31 06:00:00,1.14367,1.14608,1.14354,1.14584,0
2025-07-31 07:00:00,1.14585,1.14585,1.14333,1.14491,0
2025-07-31 08:00:00,1.14489,1.1455,1.14382,1.14502,0
2025-07-31 09:00:00,1.14503,1.14508,1.14326,1.14333,0
2025-07-31 10:00:00,1.14332,1.14416,1.14209,1.14397,0
2025-07-31 11:00:00,1.14398,1.1451,1.14362,1.14495,0
2025-07-31 12:00:00,1.14494,1.1451,1.14252,1.14287,0
2025-07-31 13:00:00,1.14287,1.14297,1.14062,1.14115,0
2025-07-31 14:00:00,1.14114,1.14497,1.14078,1.14449,0
2025-07-31 15:00:00,1.14449,1.14497,1.14283,1.14302,0
2025-07-31 16:00:00,1.14302,1.14328,1.14219,1.14227,0
2025-07-31 17:00:00,1.14227,1.14247,1.14154,1.14198,0
2025-07-31 18:00:00,1.14197,1.1433,1.14157,1.14268,0
2025-07-31 19:00:00,1.14267,1.14319,1.14123,1.14126,0
2025-07-31 20:00:00,1.14126,1.14183,1.14098,1.1415,0
2025-07-31 21:00:00,1.14153,1.14201,1.14153,1.1417,0
2025-07-31 22:00:00,1.14169,1.1423,1.14152,1.14172,0
2025-07-31 23:00:00,1.14179,1.1426,1.14118,1.14219,0
2025-08-01 00:00:00,1.1422,1.14289,1.14157,1.14243,0
2025-08-01 01:00:00,1.14243,1.14285,1.14052,1.14072,0
2025-08-01 02:00:00,1.14072,1.1415,1.14061,1.14114,0
2025-08-01 03:00:00,1.14114,1.14223,1.14104,1.14184,0
2025-08-01 04:00:00,1.14184,1.14215,1.14159,1.14192,0
2025-08-01 05:00:00,1.14193,1.14347,1.14165,1.14307,0
2025-08-01 06:00:00,1.14307,1.14381,1.14262,1.14294,0
2025-08-01 07:00:00,1.14294,1.14341,1.14128,1.1419,0
2025-08-01 08:00:00,1.14189,1.14206,1.14056,1.14067,0
2025-08-01 09:00:00,1.14066,1.14128,1.13933,1.14008,0
2025-08-01 10:00:00,1.14009,1.14177,1.14009,1.14117,0
2025-08-01 11:00:00,1.14121,1.14224,1.14046,1.14047,0
2025-08-01 12:00:00,1.14047,1.15584,1.13917,1.15456,0
2025-08-01 13:00:00,1.15455,1.15833,1.15376,1.15626,0
2025-08-01 14:00:00,1.15623,1.15881,1.15513,1.15561,0
2025-08-01 15:00:00,1.15561,1.15651,1.15363,1.15545,0
